scl_lb,n_novel_subgraphs,n_total_inferred,rxn_cov_frac
1,49,172,1.0
2,43,164,0.9651162790697675
3,43,158,0.9534883720930233
4,42,153,0.936046511627907
5,33,144,0.8895348837209303
6,38,141,0.8895348837209303
7,36,137,0.8895348837209303
8,34,124,0.8546511627906976
9,29,115,0.8081395348837209
10,28,111,0.8081395348837209
11,20,97,0.7558139534883721
12,20,95,0.7558139534883721
13,20,90,0.7558139534883721
14,20,87,0.7558139534883721
15,19,81,0.7558139534883721
16,19,75,0.7558139534883721
17,16,59,0.6802325581395349
18,16,45,0.5813953488372093
19,16,43,0.5813953488372093
20,14,37,0.5813953488372093
21,14,35,0.5813953488372093
22,14,29,0.5813953488372093
23,14,28,0.5813953488372093
24,13,24,0.5813953488372093
25,12,21,0.5813953488372093
26,12,21,0.5813953488372093
27,12,21,0.5813953488372093
28,12,21,0.5813953488372093
29,13,20,0.5813953488372093
30,13,20,0.5813953488372093
31,13,20,0.5813953488372093
32,13,20,0.5813953488372093
33,13,20,0.5813953488372093
34,6,13,0.4186046511627907
35,4,8,0.27906976744186046
36,4,8,0.27906976744186046
37,3,4,0.27906976744186046
38,3,4,0.27906976744186046
39,3,4,0.27906976744186046
40,3,4,0.27906976744186046
41,3,4,0.27906976744186046
42,3,4,0.27906976744186046
43,3,4,0.27906976744186046
44,3,4,0.27906976744186046
45,3,4,0.27906976744186046
46,3,4,0.27906976744186046
47,3,4,0.27906976744186046
48,3,4,0.27906976744186046
49,2,2,0.27906976744186046
50,0,0,0.0
